sample_id	phylum	Surface	rela
CAR4_ita_i	Myxococcota	carcass	1.5553055813768434e-4
CAR4_ita_i	Nitrospinota	carcass	3.6169897241321937e-6
CAR4_ita_i	Nitrospirota	carcass	1.5070790517217475e-5
CAR4_ita_i	Planctomycetota	carcass	4.123368285510701e-4
CAR4_ita_i	Pseudomonadota	carcass	0.42483111672146406
CAR4_ita_i	Rhodothermota	carcass	9.645305931019184e-6
CAR4_ita_i	Spirochaetota	carcass	3.297488965167183e-4
CAR4_ita_i	Synergistota	carcass	1.0670119686189971e-4
CAR4_ita_i	Thermodesulfobacteriota	carcass	8.427586057228011e-4
CAR4_ita_i	Thermodesulfobiota	carcass	3.0141581034434946e-6
CAR4_ita_i	Thermomicrobiota	carcass	7.2339794482643875e-6
CAR4_ita_i	Thermosulfidibacterota	carcass	1.8084948620660969e-6
CAR4_ita_i	Thermotogota	carcass	7.963405709297713e-4
CAR4_ita_i	Unknown	carcass	4.810596333095818e-4
CAR4_ita_i	Verrucomicrobiota	carcass	1.9652310834451586e-4
CAR4_ita_i	Vulcanimicrobiota	carcass	6.02831620688699e-7
CD1_ita_i	Acidobacteriota	clean drain	7.598876296935866e-5
CD1_ita_i	Actinomycetota	clean drain	0.6016360587056535
CD1_ita_i	Aquificota	clean drain	3.227177094007331e-6
CD1_ita_i	Armatimonadota	clean drain	4.390461860451834e-6
CD1_ita_i	Atribacterota	clean drain	1.125759451397906e-6
CD1_ita_i	Bacillota	clean drain	0.008241759994314164
CD1_ita_i	Bacteroidota	clean drain	0.02983652809480936
CD1_ita_i	Balneolota	clean drain	2.5141961081219904e-6
CD1_ita_i	Bdellovibrionota	clean drain	1.463112033666812e-4
CD1_ita_i	Caldisericota	clean drain	1.501012601863875e-7
CD1_ita_i	Calditrichota	clean drain	3.752531504659687e-7
CD1_ita_i	Campylobacterota	clean drain	0.005508603672895281
CD1_ita_i	Candidatus Absconditibacteriota	clean drain	1.8762657523298436e-7
CD1_ita_i	Candidatus Bipolaricaulota	clean drain	1.1632847664445031e-6
CD1_ita_i	Candidatus Cloacimonadota	clean drain	1.0131835062581155e-6
CD1_ita_i	Candidatus Fervidibacterota	clean drain	1.5385379169104718e-6
CD1_ita_i	Candidatus Omnitrophota	clean drain	7.505063009319375e-7
