sample_id	family	Surface	rela
CAR1_ita_i	Cellulomonadaceae	carcass	5.836314717434823e-4
CAR1_ita_i	Cellulosilyticaceae	carcass	1.9304733296130567e-5
CAR1_ita_i	Cellvibrionaceae	carcass	9.34932723004463e-5
CAR1_ita_i	Cerasicoccaceae	carcass	2.4692100727608864e-6
CAR1_ita_i	Chamaesiphonaceae	carcass	2.6375653049945834e-6
CAR1_ita_i	Chelatococcaceae	carcass	1.7003878455603377e-5
CAR1_ita_i	Chitinibacteraceae	carcass	1.6796240335848487e-4
CAR1_ita_i	Chitinophagaceae	carcass	6.431169871327218e-4
CAR1_ita_i	Chlamydiaceae	carcass	1.2065458310081605e-5
CAR1_ita_i	Chlorobiaceae	carcass	5.000150397340795e-5
CAR1_ita_i	Chloroflexaceae	carcass	3.3671046446739365e-6
CAR1_ita_i	Chloroherpetonaceae	carcass	3.872170341375027e-6
CAR1_ita_i	Christensenellaceae	carcass	9.82072188029898e-6
CAR1_ita_i	Chromatiaceae	carcass	0.016069675271938595
CAR1_ita_i	Chromobacteriaceae	carcass	5.107336561862916e-4
CAR1_ita_i	Chroococcaceae	carcass	8.473880022429406e-6
CAR1_ita_i	Chroococcidiopsidaceae	carcass	5.8924331281793885e-6
CAR1_ita_i	Chrysiogenaceae	carcass	8.978945719130497e-6
CAR1_ita_i	Chthonomonadaceae	carcass	1.010131393402181e-6
CAR1_ita_i	Clostridiaceae	carcass	0.053054457754733816
CAR1_ita_i	Clostridiales Family XVI. Incertae Sedis	carcass	1.3300063346462048e-5
CAR1_ita_i	Clostridiales Family XVII. Incertae Sedis	carcass	9.932958701788111e-6
CAR1_ita_i	Cohaesibacteraceae	carcass	6.0720120425619985e-5
CAR1_ita_i	Coleofasciculaceae	carcass	1.7957891438260993e-6
CAR1_ita_i	Colwelliaceae	carcass	9.90489949641583e-5
CAR1_ita_i	Comamonadaceae	carcass	0.11173950013311287
CAR1_ita_i	Conexibacteraceae	carcass	2.3962561387929512e-5
CAR1_ita_i	Coprobacillaceae	carcass	2.610067283729746e-4
CAR1_ita_i	Coprothermobacteraceae	carcass	2.974275769461977e-6
CAR1_ita_i	Coraliomargaritaceae	carcass	6.90256452158157e-6
CAR1_ita_i	Coriobacteriaceae	carcass	8.249406379451144e-5
CAR1_ita_i	Corynebacteriaceae	carcass	0.02522584293220043
CAR1_ita_i	Coxiellaceae	carcass	3.1987494124402396e-5
CAR1_ita_i	Criblamydiaceae	carcass	1.122368214891312e-7
CAR1_ita_i	Crocinitomicaceae	carcass	1.7205904734283813e-4
CAR1_ita_i	Cyclobacteriaceae	carcass	2.9001994672791506e-4
CAR1_ita_i	Cyclonatronaceae	carcass	1.3861247453907705e-5
CAR1_ita_i	Cytophagaceae	carcass	1.8507851863557736e-4
CAR1_ita_i	Deferribacteraceae	carcass	4.040525573608724e-6
CAR1_ita_i	Defluviitaleaceae	carcass	4.871078052628294e-5
CAR1_ita_i	Dehalococcoidaceae	carcass	7.794847252420162e-5
CAR1_ita_i	Deinococcaceae	carcass	0.0016713185087946529
CAR1_ita_i	Demequinaceae	carcass	6.206696228348956e-5
CAR1_ita_i	Dermabacteraceae	carcass	8.101253775085491e-4
CAR1_ita_i	Dermacoccaceae	carcass	1.3305675187536505e-4
CAR1_ita_i	Dermatophilaceae	carcass	4.7027228203945977e-5
CAR1_ita_i	Dermocarpellaceae	carcass	4.096643984353289e-6
CAR1_ita_i	Desulfallaceae	carcass	1.2177695131570736e-5
CAR1_ita_i	Desulfarculaceae	carcass	9.20341936210876e-6
CAR1_ita_i	Desulfatibacillaceae	carcass	4.545591270309814e-6
CAR1_ita_i	Desulfitobacteriaceae	carcass	7.860505792991304e-4
CAR1_ita_i	Desulfobaccaceae	carcass	2.0763811975489273e-6
CAR1_ita_i	Desulfobacteraceae	carcass	3.698203268066873e-5
CAR1_ita_i	Desulfobulbaceae	carcass	9.994688953607134e-5
CAR1_ita_i	Desulfocapsaceae	carcass	2.2671837940804505e-5
CAR1_ita_i	Desulfococcaceae	carcass	1.5937628651456632e-5
CAR1_ita_i	Desulfohalobiaceae	carcass	2.7498021264837145e-6
CAR1_ita_i	Desulfolunaceae	carcass	4.882301734777207e-6
CAR1_ita_i	Desulfomicrobiaceae	carcass	1.0235998119808766e-4
CAR1_ita_i	Desulfomonilaceae	carcass	4.264999216586986e-6
CAR1_ita_i	Desulfosarcinaceae	carcass	2.6936837157391492e-5
CAR1_ita_i	Desulfosudaceae	carcass	2.30085484052719e-6
CAR1_ita_i	Desulfotomaculaceae	carcass	7.688222272005489e-6
CAR1_ita_i	Desulfovibrionaceae	carcass	0.0022258806437724502
CAR1_ita_i	Desulfurobacteriaceae	carcass	4.321117627331552e-6
CAR1_ita_i	Desulfuromonadaceae	carcass	3.024782339132086e-5
CAR1_ita_i	Dethiobacteraceae	carcass	3.8160519306304615e-6
CAR1_ita_i	Dethiosulfovibrionaceae	carcass	1.4871378847309886e-5
CAR1_ita_i	Devosiaceae	carcass	5.918247597121889e-4
CAR1_ita_i	Dictyoglomaceae	carcass	4.545591270309814e-6
CAR1_ita_i	Dietziaceae	carcass	0.00824345782791222
CAR1_ita_i	Dissulfurispiraceae	carcass	1.7396707330815338e-6
CAR1_ita_i	Dongiaceae	carcass	1.6049865472945763e-5
CAR1_ita_i	Dysgonomonadaceae	carcass	0.003755892994312287
CAR1_ita_i	Ectothiorhodospiraceae	carcass	9.860004767820177e-5
CAR1_ita_i	Eggerthellaceae	carcass	2.2969265517750704e-4
CAR1_ita_i	Egibacteraceae	carcass	5.387367431478298e-6
CAR1_ita_i	Egicoccaceae	carcass	8.978945719130497e-6
CAR1_ita_i	Elioraeaceae	carcass	5.948551538923954e-6
CAR1_ita_i	Elusimicrobiaceae	carcass	1.5151970901032713e-6
CAR1_ita_i	Emcibacteraceae	carcass	1.734058892007077e-5
CAR1_ita_i	Endomicrobiaceae	carcass	4.657828091798945e-6
CAR1_ita_i	Endozoicomonadaceae	carcass	2.721742921111432e-5
CAR1_ita_i	Enterobacteriaceae	carcass	0.0018100993385659636
CAR1_ita_i	Enterococcaceae	carcass	0.0016480854867464028
CAR1_ita_i	Entomoplasmataceae	carcass	1.5657036597733805e-5
CAR1_ita_i	Erwiniaceae	carcass	2.726793578078443e-4
CAR1_ita_i	Erysipelotrichaceae	carcass	9.190512127637509e-4
