sample_id	sample_coverm	Contig_name	Mean coverm	Trimmed Mean coverm	Variance coverm	RPKM coverm	Covered Bases coverm	Length coverm	Read Count coverm	Reads per base coverm	total_rpkm coverm	TPM coverm
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_21696_length_3838_cov_6.021940	9.494035	9.403012	13.290989	0.8851882	3838	3838	240	0.06253257	822701.4412394845	1.075953141234775
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_21790_length_3827_cov_3.881495	6.6633124	6.589852	9.003041	0.614015	3818	3827	166	0.043376014	822701.4412394845	0.7463400077127896
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_23502_length_3627_cov_7.689250	12.843543	12.550942	79.06699	1.1747576	3614	3627	301	0.082988694	822701.4412394845	1.427926998924551
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_23503_length_3627_cov_6.339866	10.234973	10.058767	17.063587	0.9483924	3627	3627	243	0.06699752	822701.4412394845	1.152778337875705
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_24056_length_3567_cov_3.491458	5.666374	5.6243095	6.780932	0.5238418	3564	3567	132	0.037005886	822701.4412394845	0.6367337818331501
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_28270_length_3183_cov_4.331841	7.5947905	7.4547787	11.934364	0.69822013	3153	3183	157	0.049324535	822701.4412394845	0.8486919980935727
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_28792_length_3141_cov_5.690538	9.257105	9.0932045	18.38772	0.8562785	3141	3141	190	0.06049029	822701.4412394845	1.0408131760531842
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_29190_length_3112_cov_4.214262	7.583052	7.432108	16.85379	0.70050377	3112	3112	154	0.049485862	822701.4412394845	0.8514677802735083
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_29651_length_3077_cov_19.149901	30.015032	29.740797	38.01617	2.7694807	3077	3077	602	0.19564511	822701.4412394845	3.366325329183199
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_30456_length_3024_cov_6.616706	10.362561	10.292891	33.748074	0.9596247	3024	3024	205	0.06779101	822701.4412394845	1.166431285879634
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_31459_length_2957_cov_4.702619	7.58746	7.403245	9.613785	0.6893511	2957	2957	144	0.048698004	822701.4412394845	0.8379116231538644
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_32435_length_2889_cov_6.562809	11.122672	10.290231	108.02074	1.0240664	2882	2889	209	0.07234337	822701.4412394845	1.2447606733946381
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_32547_length_2881_cov_29.026893	42.09264	42.130947	226.40642	3.8865347	2881	2881	791	0.27455744	822701.4412394845	4.724113153545149
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_34176_length_2787_cov_2.853587	4.6037164	4.5077896	5.743127	0.4164916	2787	2787	82	0.029422319	822701.4412394845	0.5062487788674741
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_37555_length_2612_cov_2.850997	4.530057	4.4900723	3.3170562	0.41729856	2612	2612	77	0.029479327	822701.4412394845	0.5072296450232258
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_37703_length_2605_cov_4.290980	6.9885945	6.9004974	5.2402935	0.64664894	2605	2605	119	0.045681383	822701.4412394845	0.7860068155779047
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_38046_length_2588_cov_3.914331	6.600492	6.509563	10.258877	0.6016692	2588	2588	110	0.042503864	822701.4412394845	0.7313335917991384
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_38866_length_2549_cov_11.728549	19.380993	19.433596	31.20508	1.7493232	2494	2549	315	0.12357787	822701.4412394845	2.126315954138192
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_41726_length_2423_cov_4.230997	6.805983	6.751832	7.464541	0.6192725	2423	2423	106	0.04374742	822701.4412394845	0.7527305398505224
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_44100_length_2327_cov_9.265845	14.393202	14.45028	55.3775	1.2957242	2327	2327	213	0.09153417	822701.4412394845	1.574962841985372
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_46241_length_2250_cov_72.662415	101.75095	102.1	472.12994	9.311262	2250	2250	1480	0.6577778	822701.4412394845	11.317911374959577
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_48203_length_2184_cov_4.516674	8.353491	8.277839	15.12289	0.751856	2184	2184	116	0.053113554	822701.4412394845	0.9138868152063178
DS3_ita_i	SRR33841023.fna/SRR33841023_1.clean.fastq.gz	DS3_ita_i_NODE_53342_length_2029_cov_52.629686	82.422035	82.5635	71.77653	7.583625	2029	2029	1087	0.5357319	822701.4412394845	9.217955165575605
