	CAR1_ita_i	CAR2_ita_i	CAR3_ita_i	CAR4_ita_i	CD1_ita_i	CD2_ita_i	CD3_ita_i	CD4_ita_i	CS1_ita_i	CS2_ita_i	CS3_ita_i	CS4_ita_i	DD1_ita_i	DD2_ita_i	DD3_ita_i	DD4_ita_i	DS1_ita_i	DS2_ita_i	DS3_ita_i	DS4_ita_i	CAR1_ita_n	CAR2_ita_n	CAR3_ita_n	CAR4_ita_n	CD1_ita_n	CD2_ita_n	CD3_ita_n	CD4_ita_n	CS1_ita_n	CS2_ita_n	CS3_ita_n	CS4_ita_n	DD1_ita_n	DD2_ita_n	DD3_ita_n	DD4_ita_n	DS1_ita_n	DS2_ita_n	DS3_ita_n	DS4_ita_n	CD1_spa_i	CD2_spa_i	CD3_spa_i	CD4_spa_i	CS1_spa_i	CS2_spa_i	CS3_spa_i	CS4_spa_i	DD1_spa_i	DD2_spa_i	DD3_spa_i	DD4_spa_i	DS1_spa_i	DS2_spa_i	DS3_spa_i	DS4_spa_i	CD1_spa_n	CD2_spa_n	CD3_spa_n	CD4_spa_n	CS1_spa_n	CS2_spa_n	CS3_spa_n	CS4_spa_n	DD1_spa_n	DD2_spa_n	DD3_spa_n	DD4_spa_n
Pseudochrobactrum	24585.0	635.0	141.0	126.0	12783.0	4714.0	11123.0	7125.0	1173.0	4173.0	3792.0	417.0	19204.0	46217.0	113981.0	21186.0	19019.0	19782.0	49979.0	29310.0	110.0	0	0	0	23.0	0	32.0	14.0	7.0	110.0	22.0	3.0	17.0	4.0	384.0	25.0	139.0	28.0	181.0	69.0	907.0	3318.0	3945.0	3668.0	346.0	721.0	537.0	1333.0	82893.0	20454.0	4169.0	6702.0	3138.0	74.0	2089.0	688.0	6.0	23.0	89.0	39.0	2.0	6.0	3.0	1.0	349.0	196.0	19.0	61.0
Brucella	3009.0	387.0	150.0	173.0	26612.0	34520.0	453799.0	77608.0	3034.0	3589.0	2246.0	1196.0	4517.0	9478.0	10311.0	3798.0	4167.0	1837.0	6424.0	5280.0	12.0	3.0	0	0	88.0	7.0	1080.0	140.0	13.0	93.0	24.0	5.0	4.0	1.0	52.0	9.0	18.0	5.0	27.0	11.0	526.0	860.0	886.0	1467.0	493.0	1538.0	754.0	2286.0	16139.0	4283.0	1113.0	1838.0	556.0	66.0	398.0	733.0	6.0	9.0	12.0	9.0	2.0	16.0	12.0	9.0	67.0	42.0	7.0	20.0
Ochrobactrum	9.0	0	0	0	35.0	36.0	221.0	83.0	2.0	6.0	7.0	0	14.0	38.0	66.0	23.0	19.0	8.0	45.0	30.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	1.0	2.0	6.0	8.0	2.0	1.0	0	1.0	47.0	9.0	2.0	6.0	5.0	0	3.0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0
Mesorhizobium	9370.0	3363.0	958.0	876.0	24779.0	30061.0	331597.0	178672.0	4462.0	8471.0	5874.0	3647.0	19213.0	51136.0	42724.0	39530.0	15903.0	5167.0	23926.0	20959.0	69.0	21.0	1.0	0	68.0	5.0	564.0	179.0	36.0	203.0	71.0	13.0	22.0	4.0	178.0	82.0	134.0	18.0	145.0	77.0	1018.0	1500.0	1712.0	1757.0	634.0	1088.0	676.0	760.0	21681.0	9749.0	3778.0	5443.0	1175.0	183.0	1316.0	2553.0	15.0	11.0	29.0	8.0	7.0	44.0	17.0	11.0	61.0	110.0	45.0	89.0
Aminobacter	2177.0	327.0	91.0	93.0	15879.0	11912.0	389889.0	217087.0	1876.0	3470.0	1997.0	1609.0	4429.0	13063.0	20568.0	31323.0	2556.0	907.0	3143.0	3236.0	18.0	3.0	0	0	65.0	1.0	1173.0	513.0	13.0	91.0	23.0	8.0	5.0	1.0	93.0	74.0	18.0	1.0	35.0	6.0	162.0	228.0	249.0	228.0	148.0	166.0	110.0	160.0	9330.0	2946.0	523.0	1397.0	267.0	41.0	196.0	476.0	5.0	3.0	4.0	1.0	0	8.0	3.0	1.0	40.0	33.0	3.0	11.0
Nitratireductor	1062.0	199.0	42.0	55.0	2141.0	2352.0	10897.0	5481.0	297.0	736.0	711.0	483.0	2127.0	4799.0	3721.0	1999.0	1727.0	667.0	2370.0	1927.0	3.0	2.0	0	0	7.0	0	9.0	1.0	2.0	18.0	9.0	1.0	2.0	0	10.0	3.0	12.0	2.0	2.0	2.0	82.0	255.0	260.0	223.0	72.0	82.0	62.0	62.0	1622.0	794.0	381.0	445.0	114.0	12.0	136.0	187.0	2.0	2.0	5.0	3.0	0	3.0	2.0	1.0	8.0	4.0	3.0	7.0
Phyllobacterium	723.0	143.0	39.0	37.0	1149.0	1269.0	8689.0	3604.0	144.0	340.0	322.0	142.0	981.0	2348.0	1967.0	1076.0	859.0	439.0	1254.0	1132.0	5.0	0	0	0	1.0	0	6.0	0	0	3.0	2.0	2.0	0	1.0	3.0	2.0	6.0	2.0	4.0	5.0	91.0	118.0	126.0	105.0	44.0	53.0	35.0	37.0	1191.0	605.0	196.0	344.0	48.0	9.0	73.0	93.0	0	1.0	0	2.0	0	1.0	1.0	0	3.0	6.0	3.0	8.0
Aquibium	663.0	107.0	30.0	34.0	1191.0	1381.0	8767.0	4343.0	182.0	472.0	307.0	261.0	1204.0	2930.0	1961.0	1326.0	1058.0	281.0	1595.0	1329.0	5.0	0	0	0	4.0	0	11.0	5.0	1.0	7.0	0	2.0	1.0	0	6.0	2.0	4.0	1.0	3.0	4.0	35.0	75.0	111.0	85.0	39.0	55.0	34.0	44.0	817.0	434.0	207.0	226.0	60.0	15.0	75.0	137.0	0	0	4.0	0	0	2.0	1.0	1.0	2.0	5.0	1.0	5.0
Chelativorans	168.0	36.0	4.0	13.0	477.0	600.0	3571.0	2062.0	79.0	146.0	134.0	75.0	359.0	832.0	565.0	384.0	373.0	123.0	481.0	538.0	1.0	0	0	0	0	0	7.0	2.0	0	5.0	0	0	1.0	0	1.0	1.0	3.0	0	1.0	0	25.0	47.0	88.0	86.0	10.0	38.0	17.0	17.0	375.0	163.0	86.0	114.0	39.0	10.0	38.0	61.0	2.0	2.0	0	2.0	0	1.0	0	0	1.0	2.0	0	2.0
Bradyrhizobium	10546.0	4253.0	1454.0	1521.0	19515.0	22892.0	67073.0	30659.0	3138.0	7765.0	7720.0	4597.0	19961.0	39080.0	26269.0	13302.0	16306.0	6987.0	19776.0	19920.0	65.0	50.0	0	0	78.0	4.0	154.0	59.0	31.0	211.0	75.0	11.0	18.0	2.0	94.0	23.0	96.0	30.0	109.0	51.0	1800.0	1949.0	2321.0	1976.0	691.0	893.0	939.0	1026.0	21698.0	10726.0	3949.0	8246.0	1670.0	302.0	2313.0	3136.0	13.0	18.0	36.0	26.0	5.0	19.0	25.0	17.0	82.0	159.0	37.0	126.0
Rhodopseudomonas	1075.0	430.0	87.0	107.0	2908.0	3195.0	9535.0	8791.0	399.0	925.0	923.0	366.0	2329.0	4533.0	3217.0	1471.0	2155.0	804.0	2462.0	2358.0	9.0	6.0	1.0	1.0	6.0	0	21.0	6.0	4.0	15.0	9.0	1.0	0	0	14.0	5.0	7.0	3.0	10.0	5.0	256.0	257.0	289.0	255.0	97.0	129.0	131.0	124.0	3280.0	1577.0	543.0	1398.0	205.0	50.0	288.0	386.0	4.0	6.0	1.0	3.0	0	1.0	3.0	2.0	12.0	15.0	9.0	16.0
Tardiphaga	479.0	113.0	27.0	38.0	991.0	1077.0	2919.0	1450.0	114.0	281.0	243.0	108.0	889.0	1833.0	1314.0	639.0	736.0	292.0	815.0	898.0	1.0	0	0	0	3.0	0	4.0	4.0	0	3.0	2.0	1.0	2.0	0	2.0	4.0	2.0	3.0	3.0	0	111.0	112.0	132.0	140.0	81.0	50.0	51.0	100.0	1416.0	763.0	282.0	1280.0	71.0	16.0	128.0	143.0	1.0	1.0	2.0	1.0	0	0	2.0	0	9.0	12.0	3.0	12.0
Afipia	271.0	100.0	19.0	31.0	729.0	1062.0	2562.0	1271.0	106.0	209.0	206.0	81.0	518.0	986.0	738.0	412.0	531.0	196.0	604.0	741.0	2.0	0	0	0	4.0	0	3.0	3.0	1.0	8.0	2.0	0	0	0	0	1.0	3.0	0	5.0	0	39.0	53.0	68.0	67.0	17.0	46.0	25.0	33.0	884.0	340.0	125.0	215.0	70.0	9.0	71.0	157.0	1.0	0	2.0	1.0	0	0	0	0	4.0	1.0	2.0	3.0
Nitrobacter	180.0	49.0	8.0	14.0	337.0	385.0	1557.0	674.0	106.0	412.0	178.0	164.0	278.0	771.0	552.0	274.0	1256.0	164.0	984.0	727.0	1.0	0	0	0	2.0	0	1.0	1.0	0	5.0	1.0	0	0	0	3.0	1.0	12.0	0	3.0	2.0	40.0	15.0	44.0	29.0	26.0	36.0	24.0	38.0	583.0	210.0	129.0	147.0	28.0	6.0	65.0	414.0	1.0	0	0	0	0	0	1.0	0	2.0	2.0	2.0	4.0
Variibacter	58.0	42.0	11.0	4.0	184.0	285.0	546.0	318.0	19.0	82.0	79.0	28.0	78.0	233.0	189.0	86.0	87.0	63.0	137.0	102.0	2.0	0	0	0	0	0	1.0	0	0	1.0	2.0	0	0	0	0	1.0	0	0	1.0	0	11.0	12.0	27.0	22.0	7.0	10.0	7.0	2.0	266.0	131.0	34.0	90.0	20.0	3.0	11.0	27.0	0	0	0	0	1.0	0	0	0	0	0	0	3.0
Bosea	12140.0	3119.0	997.0	905.0	16788.0	24243.0	72502.0	25750.0	4874.0	5953.0	3139.0	2318.0	31213.0	101016.0	85292.0	27214.0	14367.0	2810.0	25926.0	21467.0	50.0	55.0	3.0	0	67.0	3.0	219.0	50.0	33.0	162.0	38.0	8.0	15.0	15.0	254.0	41.0	89.0	6.0	105.0	50.0	893.0	1137.0	1188.0	1570.0	854.0	1201.0	643.0	1192.0	223507.0	85702.0	3751.0	52510.0	2365.0	282.0	1514.0	4116.0	13.0	10.0	18.0	11.0	1.0	16.0	11.0	13.0	706.0	716.0	18.0	387.0
Devosia	10579.0	1130.0	250.0	314.0	11483.0	17148.0	49758.0	50437.0	1887.0	4290.0	2611.0	1279.0	16544.0	39496.0	47529.0	20160.0	11017.0	2674.0	8142.0	9943.0	67.0	7.0	1.0	0	43.0	3.0	129.0	76.0	12.0	111.0	37.0	7.0	12.0	8.0	163.0	30.0	82.0	8.0	33.0	33.0	660.0	747.0	1056.0	1132.0	635.0	1157.0	384.0	654.0	30431.0	17284.0	1803.0	5392.0	1592.0	137.0	1790.0	1143.0	10.0	5.0	10.0	17.0	4.0	30.0	10.0	8.0	131.0	187.0	16.0	66.0
Pelagibacterium	551.0	84.0	23.0	33.0	1208.0	1205.0	4011.0	2083.0	169.0	365.0	311.0	148.0	938.0	1923.0	1670.0	764.0	1172.0	328.0	922.0	973.0	3.0	1.0	1.0	0	3.0	0	5.0	5.0	0	4.0	4.0	0	4.0	0	2.0	2.0	8.0	1.0	2.0	1.0	45.0	116.0	132.0	96.0	37.0	50.0	28.0	35.0	1267.0	592.0	196.0	351.0	94.0	14.0	91.0	94.0	1.0	1.0	3.0	1.0	0	1.0	0	0	3.0	7.0	3.0	5.0
Paradevosia	345.0	33.0	9.0	17.0	732.0	592.0	3517.0	2233.0	94.0	211.0	176.0	48.0	667.0	1290.0	1353.0	559.0	480.0	174.0	591.0	653.0	4.0	0	0	0	2.0	1.0	2.0	1.0	0	5.0	1.0	0	0	1.0	6.0	0	3.0	0	4.0	2.0	16.0	72.0	77.0	64.0	21.0	16.0	18.0	20.0	800.0	423.0	112.0	226.0	25.0	3.0	39.0	59.0	1.0	0	1.0	0	1.0	0	2.0	0	6.0	2.0	0	2.0
Youhaiella	189.0	22.0	4.0	9.0	366.0	529.0	1545.0	1066.0	57.0	122.0	102.0	24.0	356.0	714.0	675.0	335.0	253.0	102.0	239.0	293.0	0	0	0	0	1.0	0	1.0	3.0	1.0	5.0	0	0	0	0	1.0	1.0	1.0	0	1.0	0	23.0	29.0	22.0	23.0	7.0	16.0	10.0	15.0	545.0	288.0	70.0	130.0	33.0	2.0	27.0	27.0	0	0	0	0	0	0	0	0	4.0	4.0	5.0	2.0
Mariluticola	89.0	8.0	3.0	7.0	107.0	140.0	486.0	282.0	18.0	54.0	58.0	13.0	106.0	328.0	289.0	104.0	130.0	39.0	116.0	121.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	2.0	0	0	0	0	0	6.0	19.0	24.0	19.0	4.0	10.0	3.0	5.0	217.0	134.0	37.0	73.0	12.0	1.0	19.0	27.0	0	0	0	0	0	0	0	0	1.0	2.0	0	2.0
Maritalea	53.0	12.0	6.0	0	62.0	91.0	247.0	111.0	11.0	28.0	27.0	8.0	74.0	162.0	162.0	84.0	81.0	45.0	96.0	119.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	0	6.0	13.0	30.0	7.0	0	3.0	3.0	4.0	56.0	65.0	12.0	19.0	12.0	0	12.0	9.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0
Methylobacterium	3050.0	1519.0	409.0	339.0	8963.0	12017.0	27789.0	12969.0	1075.0	3353.0	2975.0	1954.0	7015.0	14079.0	8353.0	4391.0	6222.0	2264.0	7528.0	7964.0	11.0	26.0	0	0	23.0	0	62.0	27.0	9.0	68.0	33.0	11.0	3.0	0	33.0	2.0	8.0	8.0	41.0	17.0	1087.0	724.0	799.0	883.0	631.0	398.0	445.0	544.0	184142.0	74431.0	1274.0	436155.0	7788.0	583.0	9929.0	2645.0	14.0	10.0	9.0	8.0	1.0	4.0	9.0	5.0	430.0	520.0	19.0	2749.0
Microvirga	1658.0	315.0	62.0	86.0	2304.0	3325.0	7437.0	2693.0	286.0	935.0	776.0	497.0	2533.0	7375.0	2527.0	1223.0	1218.0	622.0	1730.0	1625.0	16.0	2.0	0	0	6.0	2.0	10.0	4.0	1.0	9.0	5.0	0	4.0	1.0	9.0	4.0	5.0	2.0	3.0	2.0	944.0	991.0	182.0	191.0	58.0	77.0	78.0	86.0	2720.0	1219.0	840.0	1099.0	411.0	160.0	712.0	349.0	7.0	10.0	7.0	2.0	0	2.0	1.0	1.0	8.0	14.0	5.0	11.0
Methylorubrum	691.0	226.0	66.0	49.0	3824.0	36054.0	5786.0	3406.0	231.0	1123.0	411.0	259.0	1612.0	4404.0	2072.0	1094.0	1861.0	614.0	2723.0	3071.0	5.0	3.0	0	0	20.0	5.0	19.0	8.0	2.0	18.0	11.0	0	0	0	11.0	0	7.0	1.0	11.0	11.0	244.0	170.0	225.0	306.0	228.0	107.0	127.0	212.0	19323.0	2335.0	346.0	3995.0	871.0	103.0	1089.0	705.0	1.0	2.0	2.0	4.0	0	4.0	0	0	70.0	19.0	5.0	36.0
Pannonibacter	1094.0	150.0	32.0	26.0	6510.0	5439.0	6013.0	2482.0	299.0	483.0	363.0	225.0	2031.0	3854.0	2222.0	1205.0	1834.0	476.0	1847.0	2083.0	9.0	7.0	0	0	25.0	0	9.0	3.0	2.0	15.0	4.0	2.0	1.0	0	6.0	3.0	8.0	1.0	4.0	4.0	51.0	203.0	161.0	181.0	33.0	41.0	32.0	33.0	1338.0	607.0	322.0	321.0	85.0	10.0	97.0	150.0	1.0	1.0	4.0	1.0	0	0	0	0	3.0	7.0	6.0	5.0
Breoghania	517.0	80.0	18.0	27.0	965.0	945.0	3001.0	1197.0	124.0	227.0	276.0	97.0	887.0	1715.0	1133.0	614.0	684.0	339.0	911.0	918.0	1.0	0	0	0	1.0	0	4.0	1.0	1.0	5.0	7.0	0	0	0	7.0	1.0	1.0	2.0	2.0	1.0	30.0	98.0	101.0	83.0	16.0	37.0	46.0	24.0	811.0	409.0	155.0	232.0	48.0	10.0	83.0	72.0	0	0	2.0	0	0	1.0	1.0	1.0	1.0	4.0	1.0	5.0
Roseibium	513.0	94.0	24.0	28.0	853.0	820.0	2831.0	1017.0	115.0	231.0	199.0	73.0	812.0	1634.0	1202.0	563.0	607.0	344.0	725.0	767.0	4.0	0	0	0	3.0	0	5.0	2.0	1.0	3.0	1.0	0	1.0	0	9.0	2.0	2.0	0	4.0	1.0	55.0	123.0	157.0	93.0	18.0	40.0	28.0	31.0	724.0	408.0	157.0	233.0	51.0	10.0	55.0	84.0	1.0	0	2.0	3.0	0	2.0	1.0	1.0	1.0	7.0	0	0
Stappia	350.0	46.0	13.0	11.0	902.0	814.0	2572.0	955.0	99.0	229.0	220.0	89.0	649.0	1457.0	916.0	477.0	601.0	232.0	643.0	762.0	0	1.0	0	0	1.0	0	7.0	0	0	5.0	5.0	0	0	0	2.0	1.0	1.0	2.0	2.0	0	40.0	72.0	56.0	61.0	29.0	28.0	15.0	33.0	707.0	300.0	142.0	187.0	46.0	9.0	58.0	69.0	0	0	1.0	3.0	0	0	1.0	1.0	1.0	0	1.0	3.0
Labrenzia	332.0	82.0	17.0	9.0	419.0	506.0	1321.0	758.0	58.0	99.0	126.0	51.0	462.0	947.0	714.0	326.0	447.0	193.0	493.0	526.0	2.0	0	0	0	0	0	0	0	0	0	2.0	0	1.0	0	3.0	0	2.0	1.0	1.0	1.0	20.0	59.0	59.0	46.0	10.0	15.0	12.0	11.0	517.0	249.0	96.0	121.0	27.0	3.0	28.0	40.0	0	0	1.0	0	0	0	2.0	1.0	4.0	4.0	0	1.0
Pseudovibrio	95.0	23.0	12.0	14.0	106.0	109.0	392.0	94.0	29.0	39.0	49.0	23.0	101.0	247.0	282.0	123.0	115.0	91.0	206.0	200.0	0	0	0	0	0	1.0	1.0	0	0	0	1.0	0	0	0	2.0	1.0	0	0	0	0	3.0	14.0	23.0	24.0	8.0	4.0	13.0	14.0	141.0	76.0	41.0	52.0	20.0	2.0	21.0	20.0	0	0	0	1.0	0	0	0	0	0	3.0	1.0	0
Martelella	1276.0	247.0	61.0	64.0	2540.0	2057.0	8045.0	3349.0	313.0	637.0	554.0	206.0	2127.0	4570.0	3237.0	1361.0	1613.0	701.0	1950.0	1932.0	4.0	0	0	0	7.0	0	9.0	3.0	1.0	9.0	4.0	0	2.0	0	8.0	6.0	7.0	3.0	3.0	3.0	93.0	226.0	233.0	242.0	53.0	74.0	57.0	55.0	2306.0	1154.0	457.0	692.0	126.0	14.0	125.0	197.0	0	2.0	3.0	0	0	8.0	1.0	3.0	8.0	13.0	3.0	12.0
Aureimonas	1006.0	176.0	28.0	48.0	27766.0	45618.0	38990.0	57158.0	525.0	3599.0	3083.0	1184.0	2138.0	4594.0	2683.0	1223.0	2174.0	1066.0	2276.0	2232.0	5.0	2.0	2.0	0	160.0	10.0	133.0	174.0	4.0	86.0	34.0	2.0	1.0	0	4.0	1.0	13.0	1.0	11.0	3.0	159.0	199.0	225.0	269.0	330.0	112.0	70.0	126.0	2068.0	978.0	342.0	667.0	156.0	13.0	147.0	272.0	1.0	1.0	4.0	3.0	1.0	3.0	1.0	2.0	11.0	11.0	5.0	11.0
Aurantimonas	166.0	43.0	18.0	9.0	988.0	813.0	2334.0	1125.0	49.0	175.0	128.0	75.0	349.0	694.0	510.0	235.0	327.0	89.0	286.0	296.0	0	0	0	0	2.0	1.0	4.0	2.0	0	4.0	0	1.0	0	0	0	1.0	0	1.0	1.0	1.0	23.0	26.0	43.0	37.0	12.0	13.0	13.0	20.0	380.0	148.0	75.0	107.0	24.0	5.0	26.0	48.0	0	0	0	0	0	0	1.0	0	3.0	3.0	1.0	2.0
Jiella	143.0	50.0	10.0	8.0	807.0	618.0	1827.0	870.0	45.0	182.0	124.0	68.0	322.0	650.0	377.0	230.0	318.0	106.0	376.0	345.0	0	1.0	0	0	1.0	0	4.0	1.0	0	2.0	1.0	0	0	0	2.0	1.0	3.0	0	2.0	0	8.0	31.0	28.0	41.0	3.0	25.0	17.0	22.0	337.0	210.0	51.0	113.0	19.0	3.0	34.0	41.0	0	0	1.0	0	0	2.0	0	0	0	3.0	1.0	0
Ancylobacter	999.0	235.0	78.0	67.0	10989.0	42744.0	46759.0	8590.0	1100.0	1353.0	1159.0	542.0	2065.0	4199.0	2824.0	1627.0	1614.0	593.0	2103.0	1967.0	7.0	1.0	0	0	43.0	7.0	111.0	18.0	2.0	30.0	11.0	1.0	0	0	9.0	3.0	10.0	0	7.0	4.0	118.0	250.0	234.0	244.0	118.0	149.0	141.0	154.0	2346.0	1156.0	327.0	795.0	173.0	46.0	123.0	312.0	3.0	3.0	2.0	3.0	2.0	3.0	2.0	2.0	13.0	12.0	3.0	11.0
Xanthobacter	440.0	151.0	46.0	49.0	5182.0	28587.0	15643.0	3529.0	1839.0	725.0	669.0	693.0	972.0	2073.0	1394.0	724.0	863.0	342.0	1061.0	1096.0	4.0	5.0	0	0	21.0	4.0	33.0	3.0	12.0	10.0	15.0	0	0	0	4.0	0	7.0	1.0	5.0	2.0	248.0	209.0	251.0	268.0	132.0	210.0	108.0	157.0	1389.0	644.0	221.0	438.0	140.0	81.0	126.0	828.0	3.0	1.0	0	0	0	3.0	2.0	0	7.0	3.0	2.0	7.0
Labrys	253.0	74.0	29.0	18.0	467.0	485.0	1619.0	900.0	76.0	126.0	95.0	41.0	464.0	1029.0	670.0	323.0	378.0	115.0	413.0	434.0	3.0	1.0	0	0	0	0	0	1.0	0	1.0	4.0	1.0	0	0	2.0	0	0	0	0	1.0	24.0	32.0	66.0	40.0	15.0	7.0	16.0	20.0	609.0	337.0	107.0	163.0	27.0	7.0	24.0	45.0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0
Aquabacter	188.0	35.0	17.0	10.0	740.0	2690.0	2036.0	456.0	181.0	121.0	107.0	59.0	370.0	753.0	488.0	243.0	241.0	119.0	349.0	387.0	0	0	0	0	3.0	0	5.0	0	1.0	0	2.0	0	0	0	1.0	0	0	0	4.0	0	41.0	46.0	49.0	49.0	8.0	18.0	19.0	27.0	437.0	233.0	72.0	161.0	36.0	8.0	23.0	73.0	0	0	1.0	0	0	0	1.0	0	1.0	2.0	1.0	3.0
Starkeya	181.0	33.0	7.0	13.0	952.0	1541.0	4457.0	1168.0	100.0	162.0	161.0	78.0	384.0	723.0	470.0	253.0	276.0	104.0	317.0	422.0	1.0	1.0	0	0	1.0	0	7.0	3.0	0	2.0	0	0	0	0	1.0	1.0	0	1.0	2.0	0	15.0	41.0	50.0	56.0	19.0	18.0	27.0	20.0	386.0	246.0	67.0	125.0	24.0	5.0	36.0	52.0	1.0	0	1.0	1.0	0	2.0	0	2.0	1.0	2.0	0	2.0
Pseudolabrys	167.0	69.0	23.0	26.0	440.0	674.0	1944.0	556.0	86.0	165.0	157.0	59.0	402.0	849.0	535.0	275.0	329.0	176.0	409.0	399.0	2.0	2.0	0	0	1.0	0	2.0	0	0	3.0	3.0	0	1.0	0	2.0	0	2.0	2.0	0	1.0	16.0	34.0	53.0	48.0	24.0	31.0	17.0	18.0	429.0	231.0	85.0	120.0	39.0	10.0	32.0	80.0	1.0	1.0	0	0	0	0	1.0	0	1.0	3.0	1.0	5.0
Azorhizobium	166.0	43.0	11.0	11.0	693.0	1684.0	1954.0	471.0	184.0	107.0	95.0	55.0	304.0	626.0	431.0	220.0	258.0	101.0	336.0	407.0	1.0	2.0	0	0	2.0	0	2.0	1.0	1.0	1.0	3.0	0	1.0	0	2.0	0	0	0	3.0	1.0	42.0	59.0	49.0	229.0	37.0	44.0	42.0	57.0	374.0	198.0	57.0	121.0	17.0	4.0	41.0	78.0	0	0	0	1.0	0	0	0	0	2.0	1.0	0	3.0
Bartonella	1383.0	200.0	112.0	127.0	430.0	417.0	1998.0	478.0	191.0	309.0	417.0	175.0	842.0	1906.0	2129.0	1459.0	779.0	697.0	1360.0	1038.0	22.0	0	0	0	2.0	0	12.0	1.0	0	19.0	10.0	1.0	4.0	2.0	26.0	10.0	4.0	6.0	7.0	10.0	63.0	49.0	90.0	107.0	60.0	33.0	43.0	34.0	333.0	274.0	172.0	207.0	131.0	19.0	140.0	57.0	0	3.0	1.0	0	0	0	1.0	1.0	3.0	8.0	2.0	10.0
Hyphomicrobium	637.0	292.0	91.0	100.0	882.0	1017.0	2723.0	1438.0	209.0	586.0	556.0	318.0	851.0	2118.0	1210.0	666.0	735.0	361.0	1167.0	969.0	6.0	4.0	0	0	3.0	0	3.0	3.0	2.0	31.0	15.0	3.0	0	0	5.0	5.0	6.0	2.0	3.0	1.0	35.0	79.0	100.0	94.0	46.0	42.0	59.0	39.0	1267.0	513.0	289.0	315.0	125.0	10.0	109.0	193.0	3.0	2.0	2.0	2.0	0	0	1.0	1.0	7.0	5.0	3.0	4.0
Rhodomicrobium	197.0	44.0	10.0	19.0	246.0	254.0	742.0	362.0	29.0	90.0	95.0	42.0	359.0	625.0	350.0	168.0	245.0	127.0	334.0	309.0	1.0	0	0	0	2.0	0	2.0	1.0	0	0	2.0	0	0	0	1.0	1.0	1.0	1.0	0	0	10.0	29.0	38.0	46.0	8.0	7.0	14.0	9.0	186.0	144.0	60.0	80.0	28.0	2.0	29.0	31.0	2.0	0	0	0	0	0	1.0	0	3.0	2.0	2.0	1.0
Rhodoplanes	175.0	44.0	8.0	10.0	286.0	361.0	1196.0	340.0	47.0	95.0	93.0	38.0	270.0	673.0	374.0	231.0	255.0	105.0	367.0	410.0	0	0	0	0	0	0	4.0	1.0	0	2.0	1.0	1.0	0	0	3.0	1.0	0	0	0	2.0	20.0	15.0	34.0	23.0	6.0	8.0	17.0	16.0	217.0	124.0	43.0	100.0	20.0	2.0	20.0	50.0	0	0	1.0	0	0	0	0	1.0	2.0	1.0	0	2.0
Methyloceanibacter	125.0	16.0	15.0	4.0	269.0	308.0	1454.0	470.0	39.0	211.0	310.0	230.0	188.0	415.0	274.0	165.0	163.0	98.0	177.0	203.0	1.0	0	0	0	0	0	1.0	2.0	0	1.0	1.0	0	0	1.0	2.0	0	1.0	0	0	0	12.0	26.0	18.0	23.0	10.0	10.0	9.0	11.0	145.0	94.0	36.0	72.0	13.0	0	20.0	53.0	0	0	0	0	1.0	0	0	0	2.0	3.0	1.0	0
Methyloligella	89.0	33.0	10.0	4.0	196.0	196.0	820.0	156.0	25.0	41.0	47.0	14.0	160.0	380.0	185.0	108.0	142.0	67.0	173.0	185.0	0	2.0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	2.0	1.0	0	0	1.0	0	37.0	55.0	23.0	12.0	4.0	12.0	3.0	10.0	97.0	70.0	44.0	39.0	8.0	0	19.0	24.0	1.0	0	1.0	1.0	0	0	0	0	0	0	0	0
Filomicrobium	43.0	14.0	1.0	2.0	57.0	64.0	123.0	64.0	16.0	24.0	25.0	3.0	89.0	140.0	106.0	59.0	62.0	39.0	67.0	72.0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	1.0	1.0	0	0	0	0	3.0	1.0	6.0	4.0	7.0	0	6.0	3.0	41.0	19.0	17.0	19.0	12.0	1.0	13.0	11.0	0	0	0	0	0	1.0	1.0	0	0	2.0	1.0	1.0
Cohaesibacter	1143.0	243.0	58.0	60.0	1445.0	1331.0	4249.0	1631.0	165.0	384.0	527.0	197.0	1637.0	3342.0	2418.0	1207.0	1232.0	811.0	1583.0	1640.0	11.0	2.0	0	0	3.0	0	3.0	4.0	0	12.0	4.0	0	1.0	1.0	10.0	5.0	4.0	4.0	15.0	3.0	88.0	241.0	249.0	177.0	35.0	74.0	82.0	80.0	1355.0	769.0	314.0	464.0	149.0	45.0	214.0	151.0	3.0	2.0	4.0	2.0	1.0	2.0	1.0	3.0	5.0	17.0	3.0	10.0
