	CAR1_ita_i	CAR2_ita_i	CAR3_ita_i	CAR4_ita_i	CD1_ita_i	CD2_ita_i	CD3_ita_i	CD4_ita_i	CS1_ita_i	CS2_ita_i	CS3_ita_i	CS4_ita_i	DD1_ita_i	DD2_ita_i	DD3_ita_i	DD4_ita_i	DS1_ita_i	DS2_ita_i	DS3_ita_i	DS4_ita_i	CAR1_ita_n	CAR2_ita_n	CAR3_ita_n	CAR4_ita_n	CD1_ita_n	CD2_ita_n	CD3_ita_n	CD4_ita_n	CS1_ita_n	CS2_ita_n	CS3_ita_n	CS4_ita_n	DD1_ita_n	DD2_ita_n	DD3_ita_n	DD4_ita_n	DS1_ita_n	DS2_ita_n	DS3_ita_n	DS4_ita_n	CD1_spa_i	CD2_spa_i	CD3_spa_i	CD4_spa_i	CS1_spa_i	CS2_spa_i	CS3_spa_i	CS4_spa_i	DD1_spa_i	DD2_spa_i	DD3_spa_i	DD4_spa_i	DS1_spa_i	DS2_spa_i	DS3_spa_i	DS4_spa_i	CD1_spa_n	CD2_spa_n	CD3_spa_n	CD4_spa_n	CS1_spa_n	CS2_spa_n	CS3_spa_n	CS4_spa_n	DD1_spa_n	DD2_spa_n	DD3_spa_n	DD4_spa_n
Kordia	1661.0	154.0	41.0	50.0	738.0	197.0	1215.0	126.0	111.0	139.0	210.0	65.0	1132.0	1861.0	3865.0	3336.0	1409.0	1118.0	1531.0	1407.0	17.0	1.0	0	0	2.0	0	6.0	0	0	0	2.0	0	2.0	0	30.0	7.0	9.0	4.0	5.0	3.0	36.0	56.0	64.0	51.0	17.0	19.0	6.0	21.0	259.0	284.0	126.0	159.0	64.0	2.0	71.0	48.0	0	0	5.0	1.0	0	1.0	0	0	2.0	2.0	3.0	5.0
Algibacter	1424.0	153.0	43.0	52.0	569.0	243.0	1270.0	138.0	68.0	95.0	230.0	65.0	859.0	1716.0	3446.0	2952.0	1214.0	979.0	1313.0	1185.0	6.0	1.0	0	0	2.0	0	5.0	0	0	1.0	2.0	2.0	0	1.0	23.0	6.0	8.0	1.0	4.0	2.0	18.0	30.0	55.0	44.0	17.0	16.0	23.0	19.0	272.0	243.0	109.0	150.0	60.0	3.0	57.0	30.0	0	2.0	5.0	0	0	1.0	1.0	0	4.0	5.0	1.0	3.0
Mesoflavibacter	1237.0	147.0	26.0	72.0	462.0	137.0	911.0	90.0	45.0	56.0	128.0	44.0	728.0	1304.0	3409.0	2762.0	972.0	930.0	921.0	1076.0	3.0	0	0	0	0	0	0	0	0	6.0	0	2.0	2.0	1.0	16.0	2.0	3.0	2.0	2.0	2.0	11.0	14.0	27.0	28.0	17.0	10.0	10.0	15.0	142.0	146.0	63.0	104.0	45.0	1.0	37.0	25.0	1.0	1.0	3.0	0	0	1.0	1.0	0	5.0	3.0	2.0	2.0
Mariniflexile	1216.0	48.0	8.0	11.0	307.0	100.0	824.0	107.0	35.0	52.0	70.0	24.0	696.0	1054.0	2744.0	2082.0	706.0	416.0	716.0	817.0	10.0	0	0	0	1.0	0	4.0	0	0	3.0	1.0	0	1.0	0	8.0	4.0	4.0	1.0	4.0	2.0	9.0	10.0	15.0	18.0	9.0	4.0	9.0	14.0	229.0	248.0	61.0	180.0	47.0	3.0	32.0	22.0	0	0	3.0	0	1.0	0	1.0	2.0	0	11.0	1.0	6.0
Olleya	1147.0	153.0	32.0	53.0	442.0	133.0	775.0	75.0	60.0	70.0	98.0	43.0	725.0	1269.0	2520.0	2528.0	755.0	724.0	917.0	930.0	7.0	0	0	0	0	0	0	1.0	0	3.0	4.0	0	2.0	0	18.0	4.0	3.0	1.0	6.0	4.0	16.0	21.0	25.0	22.0	21.0	9.0	6.0	9.0	141.0	143.0	54.0	103.0	48.0	3.0	44.0	31.0	0	1.0	0	1.0	0	0	1.0	0	1.0	4.0	2.0	1.0
Dokdonia	1112.0	148.0	39.0	53.0	502.0	152.0	695.0	100.0	55.0	89.0	239.0	36.0	601.0	1250.0	2089.0	1780.0	988.0	781.0	869.0	789.0	13.0	0	0	0	1.0	0	1.0	0	0	3.0	6.0	0	3.0	0	15.0	2.0	5.0	0	5.0	1.0	9.0	20.0	37.0	37.0	15.0	9.0	20.0	12.0	181.0	177.0	83.0	194.0	49.0	2.0	56.0	33.0	0	0	2.0	0	0	0	0	1.0	3.0	6.0	2.0	9.0
Psychroflexus	1092.0	165.0	58.0	59.0	439.0	150.0	648.0	147.0	52.0	75.0	136.0	43.0	735.0	1264.0	2765.0	2162.0	907.0	793.0	1074.0	909.0	6.0	0	0	0	0	0	2.0	0	1.0	2.0	2.0	0	0	0	12.0	6.0	6.0	3.0	3.0	2.0	18.0	30.0	25.0	18.0	11.0	9.0	4.0	7.0	163.0	145.0	92.0	120.0	37.0	1.0	52.0	36.0	1.0	0	2.0	0	0	1.0	0	0	3.0	5.0	3.0	6.0
Flavivirga	1064.0	134.0	35.0	75.0	345.0	110.0	730.0	97.0	43.0	70.0	119.0	41.0	659.0	1212.0	2141.0	2245.0	801.0	700.0	844.0	921.0	7.0	0	0	0	1.0	0	4.0	0	0	5.0	4.0	0	1.0	0	17.0	4.0	2.0	3.0	3.0	3.0	17.0	33.0	36.0	30.0	14.0	8.0	17.0	20.0	143.0	130.0	75.0	122.0	45.0	10.0	47.0	31.0	0	0	0	0	0	3.0	0	0	2.0	6.0	1.0	5.0
Aestuariibaculum	1060.0	91.0	26.0	30.0	470.0	106.0	594.0	92.0	48.0	56.0	120.0	40.0	680.0	1150.0	2378.0	1908.0	773.0	680.0	775.0	736.0	6.0	0	0	0	0	0	2.0	0	0	1.0	1.0	0	2.0	2.0	13.0	1.0	4.0	2.0	3.0	0	15.0	31.0	33.0	25.0	7.0	3.0	7.0	13.0	197.0	169.0	94.0	121.0	46.0	7.0	48.0	16.0	0	1.0	2.0	0	0	0	0	0	1.0	1.0	0	3.0
Salegentibacter	999.0	131.0	34.0	62.0	481.0	165.0	804.0	125.0	51.0	106.0	149.0	54.0	629.0	1351.0	2231.0	1817.0	777.0	750.0	926.0	910.0	8.0	1.0	0	0	1.0	0	2.0	0	0	2.0	3.0	1.0	1.0	0	11.0	3.0	4.0	2.0	4.0	3.0	12.0	34.0	54.0	28.0	11.0	10.0	6.0	14.0	210.0	222.0	89.0	158.0	48.0	5.0	56.0	31.0	1.0	0	1.0	1.0	1.0	0	0	1.0	5.0	5.0	3.0	0
