	CAR1_ita_i	CAR2_ita_i	CAR3_ita_i	CAR4_ita_i	CD1_ita_i	CD1_spa_i	CD2_ita_i	CD2_spa_i	CD3_ita_i	CD3_spa_i	CD4_ita_i	CD4_spa_i	CS1_ita_i	CS1_spa_i	CS2_ita_i	CS2_spa_i	CS3_ita_i	CS3_spa_i	CS4_ita_i	CS4_spa_i	DD1_ita_i	DD1_spa_i	DD2_ita_i	DD2_spa_i	DD3_ita_i	DD3_spa_i	DD4_ita_i	DD4_spa_i	DS1_ita_i	DS1_spa_i	DS2_ita_i	DS2_spa_i	DS3_ita_i	DS3_spa_i	DS4_ita_i	DS4_spa_i	CAR1_ita_n	CAR2_ita_n	CAR3_ita_n	CAR4_ita_n	CD1_ita_n	CD1_spa_n	CD2_ita_n	CD2_spa_n	CD3_ita_n	CD3_spa_n	CD4_ita_n	CD4_spa_n	CS1_ita_n	CS1_spa_n	CS2_ita_n	CS2_spa_n	CS3_ita_n	CS3_spa_n	CS4_ita_n	CS4_spa_n	DD1_ita_n	DD1_spa_n	DD2_ita_n	DD2_spa_n	DD3_ita_n	DD3_spa_n	DD4_ita_n	DD4_spa_n	DS1_ita_n	DS1_spa_n	DS2_ita_n	DS2_spa_n	DS3_ita_n	DS3_spa_n	DS4_ita_n	DS4_spa_n
Moraxella pluranimalium	1517	0	0	87	187	0	63	36	0	0	0	0	206	0	7	0	0	0	0	0	197	123	2078	181	112	1473	540	870	76	58	38	12	68	505	68	432	23	0	0	0	0	2	0	1	0	0	0	1	5	0	11	0	7	0	0	0	4	3	0	7	5	20	3	19	2	8	0	3	4	9	3	1
[Pseudomonas] sp.	1721	119	12	0	63087	1308	132882	858	2409	113	689	1234	2912	355	1475	221	978	373	186	121	1975	11438	4594	11615	11486	69	5429	13589	3522	882	1548	0	13314	513	8801	122	37	7	0	0	337	139	18	39	51	18	15	56	45	16	184	34	33	54	16	29	11	188	2	507	119	39	33	588	73	113	13	2	108	9	40	39
Dietzia cinnamea	2858	0	0	0	1626	0	2648	0	13978	12	5627	0	115	0	1513	0	696	0	970	0	6220	10	18577	0	6339	0	5817	0	2892	0	1688	0	2339	6	3272	0	26	0	0	0	26	0	0	0	71	1	26	1	1	0	83	0	22	0	6	0	5	0	2	0	13	0	10	0	61	2	5	0	9	0	14	2
Bacteroidota bacterium	2635	191	0	20	485	0	217	10	1304	0	103	31	48	0	43	0	233	0	24	0	2087	246	5501	354	2610	1257	5182	556	2719	6	696	0	1803	64	1922	81	58	1	0	1	3	3	2	2	5	1	0	0	3	2	19	1	12	0	0	1	8	6	5	13	58	23	18	18	25	9	4	1	20	2	10	24
Acinetobacter junii	7906	599	35	87	38229	3621	137479	7840	5851	56	7398	4368	22294	6	1877	0	3128	21	294	34	5468	4025	9319	15463	6201	37633	6681	4683	1954	352	5126	8	4657	930	5282	248	67	8	1	0	127	160	17	135	37	12	26	41	135	1	173	2	65	1	7	2	8	29	5	154	29	196	29	79	32	35	22	0	31	2	18	9
Mycobacteroides abscessus	7344	2073	306	472	2762	88	3589	968	2156	654	8943	4709	5030	229	10937	0	3839	0	1717	255	3993	900	7875	897	2893	5127	7111	973	2158	477	18683	7	15720	640	13497	468	127	13	3	1	133	14	4	27	111	3	307	60	67	4	667	2	121	1	29	1	20	40	13	54	50	65	58	51	93	28	85	0	110	7	69	6
Deinococcus ficus	1296	21	0	0	813	9	12	0	0	0	7	43	0	0	0	0	0	0	0	0	11725	2837	52	132	390	22657	11	748	50	336	0	7	9	1017	17	126	22	0	0	0	21	3	0	0	0	3	0	3	0	1	2	1	2	0	1	0	5	18	0	19	7	63	3	38	7	30	1	3	0	11	3	9
Tissierella pigra	2416	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1213	40	1426	34	635	0	584	0	408	0	15	0	334	0	246	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	2	3	0	1	0	6	0	2	0	0	0	0	0
Neisseria sp.	1836	120	0	0	16	0	235	0	0	0	2	0	19	0	0	0	0	0	0	7	1525	308	4491	99	5202	2950	2173	756	412	0	3218	0	3964	0	2546	15	16	0	0	0	2	0	0	1	0	1	1	1	1	0	8	0	1	0	0	1	1	4	1	7	16	46	6	12	16	0	15	0	10	0	17	2
Dietzia aerolata	4372	0	0	0	4864	0	1472	0	7670	0	1188	0	80	0	5463	0	1945	0	1324	0	4496	187	19512	23	2812	0	2483	47	6407	8	6578	0	5416	0	3762	5	59	0	0	0	23	0	1	0	100	0	5	1	2	0	97	0	21	1	7	0	31	2	18	1	39	0	43	5	131	1	6	2	23	0	18	2
Aeromonas hydrophila	1743	127	27	0	6431	340	325422	4210	94	108	198	75	53822	10	989	19	28	21	3687	27	941	31344	59229	2986	4243	12133	1309	101263	413	257	13678	6	64770	5020	1873	97	53	1	0	0	76	60	25	120	4	19	3	12	173	2	121	7	8	17	40	8	3	178	17	200	52	332	14	1015	18	22	50	6	165	55	28	20
Burkholderiales bacterium	2487	7882	1067	1097	4328	135	18310	24	182	32	187	9	299	0	71	0	513	0	34	15	2311	687	4837	741	3697	1235	3960	399	2819	37	1078	7	5372	215	11285	99	31	16	1	0	49	6	4	1	10	0	0	0	7	0	40	3	19	2	4	0	4	17	1	37	18	34	20	18	51	7	6	1	33	3	41	7
Caloramator sp.	1809	536	395	236	0	1007	14	18	0	0	0	0	1760	0	3146	0	4336	0	1345	0	362	0	153	0	2892	8	1622	259	70	192	2047	0	1527	69	810	0	21	2	1	0	0	15	0	2	0	0	0	0	18	0	74	0	58	0	10	0	4	1	1	0	37	0	21	5	5	6	6	0	6	1	6	2
Williamwhitmania taraxaci	1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	324	15	0	8	0	0	0	0	0	0	0	11	0	0	0	45	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	17	0	3	4	0	0	0	0	3	0	0	0	0	0	0
Rothia nasimurium	3266	5718	665	3167	460	475	1469	640	259	536	778	4837	8054	70	13048	0	974	11	2748	84	2807	2252	41826	1038	5790	22241	9568	2313	3381	560	23798	0	33888	1231	11230	855	142	12	2	0	4	12	2	8	1	6	3	24	24	0	292	0	44	0	2	0	23	9	6	33	38	121	51	42	74	25	107	1	68	11	38	13
Aliarcobacter skirrowii	2299	0	0	4	103	0	494	0	0	0	0	0	35	0	0	0	0	0	0	0	602	15	2444	0	816	0	6918	19	1775	0	167	0	1282	36	1715	0	30	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	5	6	2	3	23	12	17	4	28	4	2	0	12	0	8	2
Flavobacterium sasangense	5181	36	0	0	167	0	237	0	175	0	0	0	0	0	0	0	8	0	0	0	2968	1015	6310	652	6662	10	9437	194	886	0	462	0	1792	0	3744	0	75	0	0	1	4	0	0	0	2	0	1	0	0	2	4	0	1	0	1	0	5	5	2	13	74	3	65	8	17	2	3	0	25	3	39	1
Streptococcus minor	1350	527	6	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	42	2479	132	1658	1297	2888	646	635	0	1761	0	2689	5	2829	0	10	4	0	0	0	1	0	0	0	0	0	0	0	0	4	0	2	0	0	0	2	0	0	3	5	7	15	1	9	1	1	0	9	0	10	0
Peptostreptococcaceae bacterium	2174	20	0	0	207	0	325	12	19	0	0	0	0	0	105	0	1340	12	182	22	926	635	441	110	536	47	1110	149	249	0	879	0	1010	113	668	12	50	0	0	0	3	1	0	1	1	0	0	1	2	0	16	1	27	2	2	1	6	1	1	2	5	1	6	6	15	2	5	0	8	2	5	3
Morganella morganii	999	33	0	12	0	0	81	0	59	0	7	0	0	0	0	0	0	0	0	0	438	86	360	12	362	15988	18645	59	452	0	190	0	2917	0	15274	0	28	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	8	0	5	26	194	26	28	12	2	3	0	18	0	33	1
Solibacillus sp.	1046	307	6	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	96	77	5	485	0	8908	6	1937	0	5380	0	4368	0	10923	0	26	4	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	3	2	0	1	9	1	52	0	53	0	22	0	28	0	49	0
Pseudoxanthomonas suwonensis	1121	352	0	0	37	339	3441	266	51	528	0	1020	0	0	0	0	0	31	8	0	5385	75	10446	0	3428	38	356	12	734	0	120	0	659	11	2071	0	15	4	0	0	2	3	0	6	1	3	0	2	0	0	2	0	2	0	0	0	6	0	0	0	14	1	4	1	15	0	1	0	12	0	12	0
Rothia nasisuis	9216	3170	740	1949	412	268	402	148	119	116	99	4448	2252	32	4298	0	1432	0	873	35	4655	663	9977	306	5178	2662	5116	1083	3089	570	17296	0	11469	405	6925	294	46	8	1	0	2	5	0	2	1	4	1	23	12	0	93	1	2	0	4	1	11	2	3	8	18	25	10	16	26	7	28	0	28	0	18	4
Enterococcus sp.	1480	13	21	0	43	0	63	0	8	0	4	0	741	0	9	0	496	0	26	8	386	25	1204	177	166	44	1250	75	56	2	639	0	450	0	837	0	22	0	0	0	0	0	0	2	0	1	0	0	0	0	3	0	3	0	1	0	2	0	0	0	3	2	1	2	7	0	2	0	2	0	1	2
Aquaspirillum sp.	2198	0	0	0	495	124	2832	16	6161	43	0	178	132	0	0	10	7	0	0	839	1810	2988	208	477	2662	0	959	48	987	6	411	0	1718	21	1259	163	50	1	0	0	11	4	0	2	52	0	1	9	5	0	12	3	1	3	1	17	4	57	0	56	20	5	28	10	90	10	1	3	12	2	19	9
Enterococcus lemanii	1238	0	0	0	19	0	113	0	0	0	7	0	0	0	6	0	11	0	39	0	339	0	1851	0	111	0	250	0	261	0	18	0	1503	0	2369	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	1	0	4	0	4	0	0	0	6	0	8	0
Candidatus Sericytochromatia bacterium	1134	0	0	0	0	0	11	0	599	0	0	0	0	0	0	0	0	0	10	0	151	0	253	0	736	0	2005	0	0	0	17	0	0	0	0	0	25	0	0	0	0	0	0	0	9	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	82	0	11	1	1	0	1	0	0	0	0	0
Stenotrophomonas ginsengisoli	2494	0	0	0	3213	0	939	0	0	0	59	0	0	0	0	0	22	0	0	0	5417	0	9312	10	4965	26	5992	0	3641	16	2753	0	4779	253	7619	0	11	0	0	0	5	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	1	0	3	1	17	0	12	0	26	0	4	0	18	0	13	0
Propionibacteriaceae bacterium	1271	57	0	0	57	0	81	15	64	6	18	39	23	0	0	13	0	0	6	0	12636	20	21186	24	1918	6	570	27	15853	0	144	0	12916	0	20489	52	28	1	0	0	2	1	2	0	3	0	0	2	1	1	5	1	1	0	2	0	14	2	1	2	10	0	5	1	108	0	2	1	31	0	31	7
Pseudomonadota bacterium	1622	18	7	11	457	6382	1033	397	2547	135	620	456	1056	23	572	0	431	24	108	14	2180	17076	5243	8336	4515	495	2122	1504	11616	60	265	0	3585	77	3021	2416	42	1	0	0	12	24	2	3	19	11	4	8	24	0	108	9	23	10	2	10	9	52	1	111	41	39	10	78	150	18	8	3	28	8	16	31
Erysipelothrix sp.	928	0	0	0	11	0	20	0	0	8	0	125	0	0	0	0	0	0	0	0	313	11	728	0	181	0	800	0	584	0	40	0	1232	0	913	0	30	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	4	2	1	5	4	0	5	1	22	6	2	1	17	1	8	2
Melaminivora suipulveris	1747	0	0	0	0	0	50	233	26	1186	0	1136	0	0	0	15	0	0	0	0	5422	110	47197	0	22056	47	2019	0	5518	10	353	0	7200	130	27039	0	41	0	0	0	3	2	0	6	2	30	0	35	1	0	5	0	0	2	0	0	5	0	4	0	64	4	26	3	82	3	2	0	26	0	55	0
Acinetobacter pseudolwoffii	7202	59	9	0	1087	5	835	50	495	39	637	17	2571	5	2160	0	2445	12	504	6	1260	381	2845	611	2946	506	2022	1184	1195	215	5783	0	7963	240	3521	0	26	0	0	0	12	0	0	0	2	1	1	2	22	0	160	0	31	0	6	0	3	5	3	13	20	9	15	17	32	8	18	1	27	2	15	2
Soonwooa sp.	3789	1600	362	106	2580	30	1415	73	6357	50	2220	14	1243	0	1214	0	997	0	111	33	5042	497	8224	695	11658	810	4692	640	3172	745	4287	0	3724	881	4225	21	75	5	1	0	34	1	1	1	14	1	3	2	16	1	29	0	25	0	3	0	10	1	1	12	103	8	23	8	75	5	21	0	35	2	19	1
Stenotrophomonas maltophilia	1993	7	0	0	1751	228	3361	1614	6100	29	691	21	130	0	161	10	225	21	0	43	3749	5295	5318	1370	2621	86	3154	17144	2950	59	1672	0	3643	129	4252	148	20	1	1	0	22	140	1	134	17	12	1	9	8	0	11	5	2	6	0	5	4	15	3	27	12	17	1	109	17	21	3	1	9	3	16	2
Acinetobacter defluvii	1204	10	0	0	215	41	690	8	22	0	63	0	909	0	307	7	23	0	26	0	637	25	1199	7	1356	0	1014	7	218	221	10468	0	3802	352	308	13	24	0	0	0	5	1	0	0	1	0	0	4	21	0	13	0	1	0	2	0	3	0	2	0	14	0	11	1	17	11	43	0	24	3	6	2
Neisseria weixii	1225	243	10	12	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	960	0	495	0	1989	45	4824	0	825	0	1712	0	4013	0	2344	6	16	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9	3	10	2	12	1	3	0	7	0	8	0
Propionivibrio sp.	1011	104	0	0	38	780	121	91	74	46	0	42	0	0	6	0	0	0	8	0	2467	273	14097	42	957	21	247	75	103	0	4	0	77	0	228	0	28	0	0	0	3	12	0	5	1	1	0	0	1	0	11	1	5	0	0	1	5	10	3	9	17	4	4	1	5	2	0	0	2	0	3	6
Bowdeniella massiliensis	1285	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1125	0	1375	0	700	0	853	0	445	0	24	0	523	11	902	0	8	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	2	2	6	1	0	0	2	0	0	1
Simplicispira sp.	1881	0	0	0	9	0	80	0	55	0	0	13	0	0	88	0	0	0	0	0	3757	60	3035	78	1308	9	1113	9	1003	0	41	0	1093	68	3529	20	16	0	0	0	1	1	0	0	0	0	0	0	1	0	8	1	0	0	1	0	0	2	0	0	5	0	7	1	21	0	0	0	8	0	8	2
Lachnospiraceae bacterium	1018	171	30	23	1466	50	2315	38178	0	1339	22	314	55	30	3330	6	37197	159	2724	280	424	4595	745	136727	744	3671	1777	51623	793	158	147028	16	3022	179	4346	160	107	11	2	1	27	52	0	143	6	213	2	75	23	14	488	57	795	83	94	109	14	175	7	1244	47	414	28	662	79	176	320	86	75	39	49	226
Microbacterium keratanolyticum	864	0	0	0	4550	15	357	0	1071990	0	107801	4	21	0	89	0	92	0	0	0	13298	23	17329	11	26339	0	18616	0	835	0	578	0	225	0	2991	0	22	1	0	0	22	0	2	2	474	2	44	2	1	0	36	0	14	0	4	0	11	1	2	5	30	1	20	1	23	3	6	0	8	1	19	0
Desulfovibrio sp.	1556	0	0	0	0	0	8	0	0	7	0	0	0	0	8	0	27	0	78	130	1037	39	3841	11435	1008	13	342	2089	711	0	17	0	631	5	825	0	15	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	3	2	0	6	1	3	0	65	3	3	2	17	11	1	0	0	6	0	4	0
