	CAR1_ita_i	CAR2_ita_i	CAR3_ita_i	CAR4_ita_i	CD1_ita_i	CD1_spa_i	CD2_ita_i	CD2_spa_i	CD3_ita_i	CD3_spa_i	CD4_ita_i	CD4_spa_i	CS1_ita_i	CS1_spa_i	CS2_ita_i	CS2_spa_i	CS3_ita_i	CS3_spa_i	CS4_ita_i	CS4_spa_i	DD1_ita_i	DD1_spa_i	DD2_ita_i	DD2_spa_i	DD3_ita_i	DD3_spa_i	DD4_ita_i	DD4_spa_i	DS1_ita_i	DS1_spa_i	DS2_ita_i	DS2_spa_i	DS3_ita_i	DS3_spa_i	DS4_ita_i	DS4_spa_i	CAR1_ita_n	CAR2_ita_n	CAR3_ita_n	CAR4_ita_n	CD1_ita_n	CD1_spa_n	CD2_ita_n	CD2_spa_n	CD3_ita_n	CD3_spa_n	CD4_ita_n	CD4_spa_n	CS1_ita_n	CS1_spa_n	CS2_ita_n	CS2_spa_n	CS3_ita_n	CS3_spa_n	CS4_ita_n	CS4_spa_n	DD1_ita_n	DD1_spa_n	DD2_ita_n	DD2_spa_n	DD3_ita_n	DD3_spa_n	DD4_ita_n	DD4_spa_n	DS1_ita_n	DS1_spa_n	DS2_ita_n	DS2_spa_n	DS3_ita_n	DS3_spa_n	DS4_ita_n	DS4_spa_n
Mangrovibacterium	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	40	0	52	0	6	0	0	0	0	0	0	0	8	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Actinobacillus	89	0	0	0	0	0	10	0	0	15	11	0	9	0	6	0	16	0	21	0	14	123	231	327	61	1879	421	450	7	0	0	0	0	88	80	10	5	0	0	0	0	11	0	1	3	15	0	6	2	1	21	1	13	8	7	0	0	12	0	30	7	36	1	52	3	12	0	2	2	5	0	18
Methylotenera	96	11712	7277	6793	15	0	51	0	8	0	13	0	23	0	2281	0	2602	7	162	0	28	29	69	6	230	0	32	0	0	0	42	0	167	0	26	0	20	39	4	0	0	0	0	0	0	0	0	0	4	0	121	0	49	0	4	0	3	1	1	4	20	0	2	0	10	0	4	0	12	0	3	0
Changpingibacter	391	0	0	0	0	0	21	0	172	0	25	9	0	0	47	8	10	0	62	0	0	0	58	0	191	0	244	0	566	0	89	0	557	0	300	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0
Dethiobacter	164	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	25	10	60	0	25	0	6	0	0	0	5	0	11	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Maribellus	111	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	42	0	39	0	45	0	6	0	37	0	0	0	0	0	22	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0
Zoogloea	116	7	14	0	101	0	549	31	79	0	6	0	0	0	11	0	0	0	0	0	120	3723	275	21	281	61	127	19	136	0	33	0	228	56	773	6	3	1	0	0	5	1	0	0	7	1	0	2	2	0	12	1	2	1	0	2	0	142	0	28	8	31	2	24	1	2	0	0	2	2	2	1
Limnohabitans	141	8	50	0	234	0	447	0	48	0	65	0	0	0	8	0	34	0	0	0	287	216	199	42	397	165	221	0	549	15	48	0	119	44	654	9	5	0	0	0	2	0	2	0	0	1	1	0	0	1	4	1	0	0	1	0	1	8	1	5	15	2	3	2	9	1	1	0	10	0	6	1
Hydrotalea	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	0	252	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	1	0	0	0
Rivihabitans	134	0	0	0	63318	238	139442	145	603	122	0	17	2699	0	5	0	0	0	0	97	262	528	16	11	354	9	429	0	108	18	63	110	129	0	572	310	2	0	0	0	171	33	7	14	5	7	0	2	29	1	3	4	1	0	0	3	2	50	0	11	1	3	2	5	0	19	1	15	0	2	3	34
Enhydrobacter	371	27	0	10	362	67	499	48	27	14	424	68	1324	62	163	23	381	0	0	108	263	450	54	69	664	1272	57	287	159	449	18	6	304	416	105	34	1	0	0	0	6	10	0	10	0	1	6	0	11	0	12	2	7	0	2	0	1	1	0	5	0	13	1	4	2	8	0	0	0	1	2	2
Mitsuokella	79	0	42	0	0	0	0	22	0	14	0	10	15	0	1529	0	8861	0	2571	0	133	7	103	105	8381	0	1383	109	28	0	114	0	5476	6	1823	0	14	0	1	0	1	3	0	2	1	5	0	13	2	0	95	0	89	3	12	6	4	1	0	20	44	2	7	25	6	1	4	2	28	1	14	3
Proteus	85	130	180	6	6	38	104	16	10	0	0	0	99	0	388	10	39	21	10	151	125	8	70	4	144	54	58	21	72	6	69	30	1418	0	74	44	8	18	3	0	1	158	0	118	2	46	3	56	17	50	101	144	47	158	36	144	0	28	2	90	14	143	2	99	1	114	1	100	101	111	21	96
Sediminibacterium	213	0	0	0	13	0	0	0	94	0	6	0	10	0	0	0	5	0	0	0	75	12	268	33	209	28	247	5	75	0	4	0	27	0	335	0	12	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	3	0	0	0	0	1	2	0	23	0	1	2	2	0	0	0	0	0	3	0
Candidatus Accumulibacter	121	15	12	0	39	6	322	6	23	0	9	0	0	0	106	10	0	5	0	0	434	564	617	742	333	757	281	163	236	0	55	6	734	0	153	22	7	4	2	0	6	7	1	4	2	0	1	0	6	1	83	24	0	11	1	4	2	38	0	74	5	69	2	44	15	20	0	9	6	1	8	5
Halomonas	116	5	37	13	184	304	2284	288	234	13	962	0	114	28	64	0	28	0	6	0	69	178	153	70	154	16	29	37	139	13	35	0	206	83	626	18	5	1	1	0	4	4	0	5	1	3	4	2	1	1	15	1	5	2	4	0	2	2	0	3	10	4	4	7	9	6	2	0	7	3	4	2
Hydromonas	101	0	0	8	15	0	68	0	0	0	14	0	6	0	0	0	0	0	0	0	5	0	253	0	36	0	8	0	82	0	0	0	41	0	222	4	0	0	0	0	0	1	0	0	0	0	1	0	3	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	5	0	0	1	1	0	1	1
Planococcus	369	211	0	40	182	104	386	5	277	0	352	65	8	0	87	0	38	14	143	0	74	5	85	38	307	31	207	22	39	6	396	22	59	18	69	0	1	0	0	0	2	4	0	5	2	0	0	1	5	0	63	4	8	4	6	1	0	3	0	1	1	3	1	2	4	4	2	1	13	6	1	4
Wohlfahrtiimonas	117	16	0	0	8	0	0	7	23	0	0	0	18	0	0	0	8	0	0	0	0	0	138	7	19656	18	232	4	139	18	244	0	403	9	172	6	4	1	0	0	0	0	0	0	1	0	0	2	0	0	0	3	0	0	0	1	1	0	0	0	66	0	0	0	5	2	1	0	24	0	0	0
Paracidovorax	110	0	0	20	112	0	223	26	124	0	284	5	0	0	0	0	0	0	0	8	211	172	870	224	513	6	217	118	131	0	36	0	273	0	181	0	7	0	0	0	7	3	0	1	1	0	1	1	1	2	2	0	2	0	0	0	1	2	0	6	9	0	4	4	9	1	2	0	7	0	5	0
Aeriscardovia	116	245	28	308	275	14	48	0	18	6	9	0	14	0	0	0	105	0	0	9	343	0	452	20	138	27	1019	11	466	14	1028	0	1040	0	2202	0	3	1	0	0	0	2	0	3	0	0	0	0	1	0	1	0	3	0	0	2	0	0	0	2	1	2	4	3	3	2	6	0	0	1	2	0
Scrofimicrobium	87	0	0	0	0	0	15	0	34	0	43	0	0	0	0	14	0	0	0	0	107	0	637	0	0	0	32	0	374	0	0	0	405	0	425	12	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	0	3	0	2	1
Prolixibacter	129	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	713	0	256	0	15	0	30	0	0	0	113	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Alkalibaculum	112	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	282	0	34	0	132	0	237	0	74	0	551	0	595	0	10	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	1	0	0	0	3	1	1	0
Citricoccus	167	910	308	0	4508	74	89	15	1003	63	6717	2489	6	0	80	0	90	9	46	11	62	0	178	306	14	0	2680	0	1062	50	1141	0	28	0	4485	63	10	1	0	0	12	5	0	1	20	1	14	3	6	0	224	0	87	2	24	0	2	0	1	1	7	6	2	0	5	2	5	0	10	0	4	1
Sebaldella	111	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	12	0	0	0	0	0	54	0	0	0	0	0	6	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Wansuia	179	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	242	0	421	5	83	0	241	0	79	8	26	0	479	0	193	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	3	3	2	1	6	1	0	0	1	2	2	1	2
Xanthobacter	133	25	42	31	247	0	14923	0	5012	0	49	7	195	0	199	0	15	0	124	0	47	147	52	73	47	0	86	78	52	0	140	0	35	7	243	6	4	2	0	0	15	2	2	0	22	0	2	0	18	0	29	1	10	1	1	0	1	2	0	5	0	0	5	2	2	4	2	2	0	0	2	6
Micromonospora	120	0	0	0	63	0	14	11	621	8	798	25	5	0	70	25	55	0	28	0	177	6	209	0	394	0	195	0	604	0	19	0	305	0	256	6	2	2	1	0	4	1	0	0	9	3	6	0	2	0	10	1	4	1	1	0	0	2	0	1	4	1	0	3	10	1	0	0	8	0	3	3
Defluviimonas	274	0	0	0	40	0	28	13	47	0	90	0	0	0	0	0	0	0	0	0	27	15	36	7	42	0	83	0	41	0	19	0	38	0	32	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	2	0	1	1	3	0	0	0	0	0	1	0
Anaerovirgula	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	71	0	0	0	118	0	0	0	0	0	14	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Rhizobium	119	43	15	0	5661	18	2181	77	3952	31	1721	29	133	0	55	0	36	0	0	0	276	87879	1791	30593	2091	22	663	558	741	17	152	0	638	0	666	59	23	15	2	0	73	22	2	2	67	4	23	6	5	1	42	6	26	11	5	5	1	260	1	337	44	15	7	71	53	9	4	2	17	1	8	5
Belliella	86	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	10	0	125	0	25	0	31	6	144	0	0	0	56	0	25	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
Faecalibacterium	140	0	8	0	0	0	20	43	0	208	0	73	0	0	0	0	10368	84	77	190	83	60	13	420	107	67	32	291	0	13	356	0	234	27	105	5	10	1	0	0	0	6	0	24	1	32	0	14	5	3	19	5	142	31	3	32	2	11	2	92	11	69	4	93	17	15	17	14	19	8	12	18
Facklamia	102	0	336	0	0	4	0	25	0	73	0	1395	35	0	5	0	25	77	0	0	52	20	53	0	63	0	154	0	114	0	11	0	160	8	12	0	6	0	0	0	0	1	0	2	0	7	0	7	1	0	4	1	1	1	0	1	1	2	0	3	4	1	4	2	8	3	2	0	7	2	4	2
Luteococcus	92	0	0	0	0	0	11	0	7	0	34	20	0	0	6	0	0	0	0	0	175	10	655	0	223	0	178	0	294	0	7	0	71	17	174	8	2	0	0	0	1	1	0	0	0	1	0	2	0	0	10	0	2	2	2	1	2	0	0	1	3	2	1	1	6	1	0	0	6	0	2	5
Streptobacillus	123	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	88	17	177	7	26	0	32	23	0	0	101	0	13	0	29	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	1	3	0	1	0	0	0	0	0
Basfia	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	308	0	23	0	15	0	21	0	47	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Murimonas	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	99	7	26	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Apibacter	87	10	0	0	51	0	16	0	22	0	64	0	0	0	0	0	36	0	0	0	70	0	96	16	78	0	29	0	178	0	134	0	68	0	238	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	4	0	1	0	1	0	0	0	2	0	1	0
Dechloromonas	72	123	7	0	497	8	2482	0	371	0	0	0	8	5	100	0	32	0	0	0	164	2079	162	268	4	28	30	697	32	222	66	6	78	10	188	624	8	4	0	0	17	2	0	1	4	0	0	1	5	2	90	1	1	3	2	0	1	40	1	13	5	16	2	25	6	15	1	5	1	1	3	39
Tomitella	106	0	0	0	268	0	279	0	3293	0	815	0	11	0	217	0	182	8	459	0	9	0	927	0	381	0	418	0	49	0	27	0	109	0	69	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	3	1	1	0	1	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0
Actinotalea	165	11	0	0	104	0	155	0	54	0	218	9	16	0	105	0	75	0	0	0	508	0	985	0	296	0	131	0	46	0	88	0	224	0	33	0	2	0	0	0	1	0	0	0	2	0	1	0	0	0	7	0	0	0	0	0	1	0	0	0	3	0	0	0	4	0	0	1	3	0	0	1
Desulfosporosinus	108	0	0	0	20	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	37	52	77	0	39	0	48	0	19	0	0	0	116	0	110	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	1	3	0	1	1	2	0	0	0
Pusillimonas	61	0	0	0	17	0	34	0	117	0	0	0	10	0	0	0	0	0	0	0	22	0	179	0	2034	0	434	0	210	10	48	0	119	0	403	0	7	0	0	0	3	0	0	0	2	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	21	2	8	2	13	3	0	1	6	0	6	0
Carboxylicivirga	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	12	0	11	0	8	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
Nesterenkonia	74	47	171	28	1742	178	1032	17	373	58	235	53	353	35	316	0	227	192600	1641	6	215	125	399	6	184	2	105	0	76	0	25	253	473	0	247	0	6	36	1	1	45	4	6	3	6	4	7	5	11	4	210	14	78	1048	27	7	0	1	0	7	1	10	3	7	6	6	5	4	20	6	2	5
Tepidanaerobacter	100	0	0	0	0	30	0	0	0	0	0	0	11	0	133	0	0	0	0	0	51	8	44	0	88	0	100	6	6	6	0	0	34	0	24	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	1	2	2	1	0	0	1	0	0	2
Pectinatus	71	0	0	0	416	5	99	6	11	0	0	31	4	16	0	85	0	0	0	43	7	0	9	7	6	0	0	0	0	0	0	0	0	16	0	0	1	0	0	0	7	2	0	0	0	1	0	0	2	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bilophila	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	85	0	555	0	137	0	26	12	28	0	0	0	33	0	54	0	2	0	0	0	1	0	0	1	3	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	0	3	1	0	0	1	1	1	1
Alysiella	68	92	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	15	8	8	0	0	0	0	0	0	18	0	0	3	0	0	0	0	1	0	1	0	0	0	2	0	0	6	0	0	0	1	0	0	0	0	1	1	6	1	5	2	3	0	2	2	0	0	1
Seramator	82	7	0	0	0	0	15	9	0	0	0	0	0	0	0	0	0	0	0	0	69	0	428	0	8	18	50	0	210	0	22	0	129	14	43	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	1	0	0	6	0	0	0	5	1	3	0
Alteromonas	87	0	0	0	76	0	51	0	34	0	0	41	7	0	0	0	0	0	0	0	65	38	88	18	286	0	183	19	86	196	91	0	186	0	60	0	2	0	0	0	1	2	0	0	1	1	1	2	1	0	4	0	0	1	0	1	1	1	0	5	9	2	5	6	1	5	1	0	5	0	1	0
Kribbella	99	0	0	0	44	0	93	0	65	9	231	0	0	0	48	10	0	0	14	0	100	0	235	0	82	0	71	0	380	0	7	0	288	0	136	0	3	0	0	0	2	0	0	0	3	0	2	0	0	0	6	0	2	0	0	0	3	0	0	0	2	0	1	0	5	0	0	0	3	0	0	0
Malikia	107	0	0	0	0	52	82	19	0	35	0	0	0	0	0	0	24	0	0	0	87	9	168	0	105	0	66	0	145	0	0	0	135	0	209	6	1	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	2	0	6	0	0	0	0	0	1	1	1	1
Anaerotalea	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	44	0	10	0	73	7	8	0	0	0	63	16	55	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0
Sterolibacterium	118	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	158	34	36	3	14	17	88	0	15	0	119	0	334	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	2	0	0	0
Aminobacter	72	0	0	0	19820	0	6241	0	1126275	0	577628	6	61	0	218	0	7	0	86	0	150	520	2986	128	19859	0	67426	6	21	0	0	0	29	0	34	8	8	0	0	0	44	1	2	0	976	0	417	0	9	1	75	1	13	0	5	1	3	12	2	6	61	0	75	1	3	4	1	0	16	1	4	1
Clavibacter	117	27	0	0	65	0	96	24	521	0	217	10	0	0	83	13	79	0	20	0	131	9	189	6	91	0	117	0	202	10	72	0	156	7	204	0	4	1	0	0	12	0	0	2	21	1	13	1	4	0	43	0	20	0	2	0	4	0	0	0	4	3	0	1	2	0	2	0	6	0	1	0
Serratia	62	397	14	85	122	12	426	72	120	113	9	4	124	6	92	69	66	32	12	108	180	155	129154	8	783	150	369	63	90	70	88	42	261	64	271	0	9	19	2	0	2	70	1	59	2	26	1	36	27	20	115	80	42	97	21	58	1	23	5	54	21	72	6	60	4	96	2	79	11	48	7	62
Agrobacterium	66	0	0	0	1327	0	336	26	5900	78	1579	11	17	0	12	25	6	0	0	67	129	179564	548	24508	667	15	73	6439	164	10	63	0	260	0	103	16	3	3	1	0	43	5	1	5	44	3	7	7	1	1	19	11	6	10	0	8	1	255	0	167	12	8	2	77	9	32	3	0	7	0	6	7
Thermosyntropha	91	5	4	63	0	15	0	0	0	0	0	0	92	0	64	0	136	0	47	0	14	0	0	0	216	0	187	0	0	0	117	0	55	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	1	0	0
Syntrophomonas	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	117	0	10	0	0	0	0	5	6	0	0	0	158	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	2	1	0	4	1	1	0	0	0	0	0	0
Mycetocola	94	6	0	0	207	0	322	5	651	0	190	55	0	0	57	0	125	39	43	0	267	0	269	0	227	0	298	0	178	0	77	0	238	0	210	0	0	0	0	0	6	0	0	0	8	0	0	0	0	0	16	1	2	0	1	0	0	1	0	0	2	0	0	0	2	0	0	0	2	1	1	0
Rhodanobacter	103	0	0	0	78	0	41	0	548	0	129	0	0	0	3	0	0	0	0	0	83	6	131	67	55	0	34	11	78	10	39	0	108	14	55	31	1	0	0	0	0	0	0	0	5	0	1	1	0	0	12	0	1	0	0	0	1	2	0	0	4	0	2	2	4	0	0	1	1	1	2	2
Amycolatopsis	126	31	0	0	0	0	118	0	192	0	151	0	0	0	19	0	0	0	5	0	82	0	272	0	118	0	71	0	224	0	32	0	60	0	27	0	4	0	0	0	0	0	0	0	6	0	4	0	2	0	5	0	7	1	0	0	0	6	1	6	1	0	0	4	5	0	0	0	3	0	0	0
Arcicella	103	0	0	12	12	0	6	0	90	0	105	0	0	0	10	0	0	0	0	0	24	0	99	0	153	0	87	10	38	0	18	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Marinisporobacter	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	25	0	0	0	0	0	14	0	0	0	80	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
Massilibacteroides	61	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	6	0	0	0	16	0	171	0	68	0	48	0	0	0	38	0	73	0	189	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0
Flexibacter	61	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	14	24	0	220	0	2291	0	0	0	0	0	15	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	14	0	27	0	2	0	0	0	0	0	1	0
Sphaerotilus	67	75	0	8	64	0	229	0	225	0	10	0	0	0	10	0	581	0	60	0	505	206	179	31	818	0	17	46	76	6	64	0	16592	11	383	0	24	2	0	0	3	0	0	0	0	0	2	0	0	0	12	1	24	0	3	0	10	1	1	2	42	0	0	2	8	0	0	0	149	1	1	0
Cyclobacterium	234	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	168	0	80	0	206	0	93	0	68	0	0	0	183	0	98	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	4	1	0	0	0	0	0	0
Dorea	83	0	9	0	8	0	16	0	0	18	0	39	0	0	0	0	1025	64	20	20	48	41	102	493	10	58	16	416	74	8	504	0	130	0	87	0	10	2	0	0	0	3	0	10	0	10	0	10	0	3	27	1	71	11	5	8	3	5	1	67	5	12	3	53	6	28	13	10	13	3	3	7
Neofamilia	59	0	17	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	33	0	45	0	27	0	40	0	0	0	188	6	67	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	1	3	1	0	0	10	0	3	1
Nitrosomonas	61	445	23	82	56	0	190	0	37	0	20	0	11	0	24	0	65	0	0	0	46	6	82	11	309	5	124	0	223	0	87	0	324	0	206	11	2	2	0	0	2	0	0	0	0	0	0	1	0	0	7	5	3	1	0	1	0	5	1	2	5	3	0	1	5	3	3	1	2	0	2	2
Paraburkholderia	76	11	0	0	35	5	180	27	124	0	40	0	25	0	0	0	4	0	0	0	46	71	217	152	202	7	55	16	34	9	13	0	95	0	74	8	5	1	0	0	5	4	0	1	5	0	3	1	1	0	5	1	6	1	0	0	0	0	0	2	5	3	3	5	7	1	0	0	6	0	4	2
Ornithinimicrobium	64	0	0	0	81	7	79	10	55	126	38	168	989	0	10517	22	2851	0	1179	30	268	8	1410	23	444	24	79	29	37425	10	997	0	15598	0	83180	6	7	1	2	0	9	0	0	5	3	2	3	11	15	2	359	5	78	5	13	37	4	5	1	12	6	10	0	6	297	11	16	1	75	0	102	5
Actinomadura	65	0	0	0	17	0	29	0	22	0	14	0	0	0	12	0	0	0	27	0	126	0	151	0	98	0	106	0	295	0	0	0	39	0	60	0	2	0	0	0	1	1	0	0	2	0	2	0	0	0	7	0	1	0	1	1	0	0	1	2	1	0	1	0	8	1	0	0	4	0	0	0
Pararhizobium	100	0	0	0	12	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	50	217	0	17	185	0	29	0	19	0	0	0	78	0	87	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	1	0	0	0
Pseudopedobacter	76	20	75	23	0	0	30	0	13	0	6	0	0	0	0	0	0	0	0	0	39	0	199	127	392	24	237	10	176	0	251	0	56	9	553	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	2	0	2	0	1	0	6	0	1	0
Peptococcus	130	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	219	0	251	9	122	0	106	40	49	0	0	0	482	0	161	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	0	0	1	3	1	2	2	3	0	1	0	0	0	1	0
Perlabentimonas	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	9	14	0	19	0	0	0	0	0	0	0	82	0	4	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Runella	97	9	0	0	0	0	8	0	6	0	7	0	0	0	0	0	0	0	0	0	6	17	149	10	84	25	6	0	64	0	0	0	9	0	48	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	2	12	0	1	0	0	0	2	0	0	1	0
Solobacterium	83	6	0	17	34	6	8	18	0	68	6	20	0	6	19	4	1664	141	27	3329	67	144	36	453	58	112	67	187	43	6	370	0	238	12	94	0	12	1	0	1	1	1	0	3	0	5	0	3	2	3	37	1	61	8	6	23	3	12	0	34	7	13	5	35	12	7	9	3	5	5	6	13
Nocardia	84	21	0	0	2745	0	2204	72	5365	369	5293	516	22	0	718	0	650	0	352	0	373	52	937	6	290	0	166	17	647	0	340	0	356	6	643	21	2	0	0	0	16	8	1	4	16	1	21	1	2	4	44	1	18	2	4	3	2	4	1	7	6	5	1	18	10	4	3	6	7	2	4	7
Raoultibacter	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	415	0	55	0	18	0	172	0	0	0	1779	0	402	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	0	1	0	6	0	0	0	13	0	1	0
Fibrobacter	71	12	6	7	11	0	10	31	0	1919	0	140	0	7	123	0	1966	76	501	161	65	286	146	717	58	669	164	289	55	6	9499	0	357	50	1195	20	12	0	1	0	1	12	0	19	0	68	0	29	1	7	54	3	74	31	9	12	1	85	0	75	11	164	13	121	7	33	90	15	23	12	28	37
